Prime Number,Time
12757,0.0006580000000000001
12763,0.000683
12781,0.000625
12791,0.0006349999999999999
12799,0.002351
12809,0.001076
12821,0.000719
12823,0.000732
12829,0.000731
12841,0.000731
12853,0.000731
12889,0.000735
12893,0.000736
12899,0.000736
12907,0.0007379999999999999
12911,0.000723
12917,0.000781
12919,0.000733
12923,0.00065
12941,0.001363
12953,0.001459
12959,0.001548
12967,0.001022
12973,0.0005740000000000001
12979,0.002164
12983,0.000779
13001,0.001003
13003,0.000842
13007,0.0008460000000000001
13009,0.000857
13033,0.001008
13037,0.000762
13043,0.000965
13049,0.001045
13063,0.001154
13093,0.000961
13099,0.001008
13103,0.000964
13109,0.001124
13121,0.00108
13127,0.000868
13147,0.001086
13151,0.0010279999999999998
13159,0.001085
13163,0.000905
13171,0.001035
13177,0.001027
13183,0.001031
13187,0.0013
13217,0.001184
13219,0.0011619999999999998
13229,0.000974
13241,0.001293
13249,0.0008640000000000001
13259,0.000998
13267,0.000963
13291,0.001103
13297,0.001047
13309,0.00119
13313,0.001059
13327,0.000883
13331,0.001074
13337,0.00113
13339,0.001041
13367,0.001132
13381,0.001066
13397,0.00108
13399,0.000913
13411,0.000907
13417,0.000912
13421,0.00118
13441,0.000886
13451,0.0008849999999999998
13457,0.00085
13463,0.000986
13469,0.000927
13477,0.000915
13487,0.000911
13499,0.000925
